id,neighbourhood,room_type,availability_365,log_price,log_minimum_nights,log_number_of_reviews,log_reviews_per_month
415619,Oostelijk Havengebied - Indische Buurt,Entire home/apt,217,4.976733742,0.693147181,4.110873864,-0.328504067
418098,De Baarsjes - Oud-West,Entire home/apt,0,5.220355825,1.098612289,3.044522438,-1.386294361
418901,Centrum-West,Entire home/apt,100,5.560681631,1.945910149,3.761200116,-0.653926467
422044,Centrum-West,Entire home/apt,301,5.616771098,1.945910149,4.852030264,0.412109651
425575,Centrum-Oost,Entire home/apt,125,4.941642423,1.791759469,4.553876892,0.113328685
431206,Zuid,Entire home/apt,0,5.521460918,0.693147181,3.044522438,-1.386294361
431635,Bos en Lommer,Entire home/apt,0,4.17438727,1.609437912,2.63905733,-1.771956842
432233,Centrum-Oost,Entire home/apt,363,5.703782475,0.693147181,3.135494216,-1.30933332
434097,Centrum-Oost,Private room,85,4.406719247,0.693147181,5.220355825,0.90825856
437757,De Pijp - Rivierenbuurt,Entire home/apt,133,4.691347882,0.693147181,4.736198448,0.292669614
438089,De Baarsjes - Oud-West,Private room,159,4.779123493,1.098612289,5.068904202,0.678033543
440992,Zuid,Entire home/apt,34,5.010635294,1.098612289,4.543294782,0.104360015
441424,Oostelijk Havengebied - Indische Buurt,Entire home/apt,103,5.135798437,0.693147181,3.295836866,-1.108662625
442105,De Baarsjes - Oud-West,Entire home/apt,159,5.521460918,0.693147181,4.634728988,0.207014169
443698,Centrum-Oost,Private room,135,4.905274778,0,4.17438727,-0.248461359
444935,Centrum-Oost,Entire home/apt,0,5.003946306,1.386294361,2.197224577,-1.237874356
445345,De Baarsjes - Oud-West,Entire home/apt,0,4.787491743,1.945910149,3.713572067,-0.733969175
445660,De Baarsjes - Oud-West,Private room,228,4.317488114,1.098612289,5.874930731,1.432700734
446592,De Pijp - Rivierenbuurt,Private room,282,4.605170186,0.693147181,5.272999559,0.832909123
